Entity,Code,Year,GDP per capita,cons_pct_gdp,Gini coefficient,log_gdp_pc
Burundi,BDI,2006,255.10558,109.28702954424,0.333598643541336,5.541677498683528
Burundi,BDI,2013,259.31113,113.780063942312,0.3862397670745849,5.558028614878359
Burundi,BDI,2020,263.46387,87.201195735864,0.3745608627796173,5.573916242830667
Cameroon,CMR,1996,1077.3893,79.2239808852615,0.4444674551486969,6.982296078880986
Cameroon,CMR,2001,1169.9268,82.275772740895,0.4213679432868957,7.064696461732023
Cameroon,CMR,2007,1295.7307,80.8799576024431,0.4282006323337555,7.166830062110344
Cameroon,CMR,2014,1381.8193,83.8846039020602,0.4664087295532226,7.231156243246196
Cameroon,CMR,2021,1443.576,85.5862342501152,0.4217607378959656,7.274878647526528
Canada,CAN,1971,21642.541,77.1912851167356,0.3724759221076965,9.982416147508834
Canada,CAN,1973,23799.695,75.1493881505738,0.3490258157253265,10.077428044451402
Canada,CAN,1975,24275.812,77.1125983322592,0.3408792912960052,10.097235742651579
Canada,CAN,1977,25960.639,77.2059161368744,0.3372953534126282,10.164336785307075
Canada,CAN,1979,27384.678,75.1657201920923,0.334696501493454,10.217738938886871
Canada,CAN,1981,28215.531,74.1382025095152,0.3296372294425964,10.247627850002866
Canada,CAN,1982,26999.078,76.5805126989729,0.3293041288852691,10.203557996255256
Canada,CAN,1984,28762.973,75.7752399423359,0.3351815640926361,10.266844179232306
Canada,CAN,1985,29851.643,76.1746865669254,0.3317562639713287,10.303995159182046
Canada,CAN,1986,30183.408,77.5679319446291,0.3167601823806762,10.315047648411786
Canada,CAN,1987,31001.129,76.500515377758,0.3165365755558014,10.341778902158953
Canada,CAN,1988,31951.55,75.5898126318006,0.3119854032993316,10.371975971930983
Canada,CAN,1989,32116.924,76.2269219257898,0.310125470161438,10.377138397596896
Canada,CAN,1990,31700.547,78.4598440548612,0.3136591017246246,10.364089215237001
Canada,CAN,1991,30654.334,81.2973710872319,0.3194330036640167,10.330529334304282
Canada,CAN,1992,30563.379,82.1470527646165,0.3156441748142242,10.327557806539842
Canada,CAN,1993,31032.754,81.5362559016488,0.3167570233345032,10.342798506323978
Canada,CAN,1994,32074.156,79.2646709732162,0.3130429089069366,10.375805875809498
Canada,CAN,1995,32595.451,77.4850562936722,0.3150948584079742,10.391928017740904
Canada,CAN,1996,32801.3,77.1847821788857,0.3276911973953247,10.398223427733164
Canada,CAN,1997,33867.008,76.7298309065548,0.3311817646026611,10.430196604147776
Canada,CAN,1998,34894.613,76.9199363343785,0.33218714594841,10.460087740975654
Canada,CAN,1999,36391.535,75.5686232100461,0.3306239545345306,10.502091471634683
Canada,CAN,2000,37906.86,73.6410132153413,0.3341967165470123,10.54288737733004
Canada,CAN,2001,38200.457,74.6034852582053,0.3355606496334076,10.550602757873891
Canada,CAN,2002,38921.668,75.7903034882679,0.3356156349182129,10.569306392524457
Canada,CAN,2003,39270.023,75.5717908542155,0.3381083607673645,10.578216733260705
Canada,CAN,2004,40108.758,74.1358244667312,0.3377778530120849,10.599349993438006
Canada,CAN,2005,41006.223,73.381950838965,0.3362303376197815,10.621479114656756
Canada,CAN,2006,41663.51,73.6677905669883,0.340922474861145,10.637380964746395
Canada,CAN,2007,42106.87,73.9786772815436,0.3384274840354919,10.647966189255454
Canada,CAN,2008,42067.57,74.1807681166417,0.3393216133117676,10.647032414041611
Canada,CAN,2009,40376.414,79.5375139849325,0.3395317196846008,10.606001081583539
Canada,CAN,2010,41164.34,78.473823651928,0.3359406590461731,10.625327626566222
Canada,CAN,2011,42043.64,77.0486166500288,0.3265787661075592,10.64646340544821
